miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT004297,hsa-miR-101-3p,hsa,PTGS2,5743.0,hsa,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,26530100.0
MIRT004297,hsa-miR-101-3p,hsa,PTGS2,5743.0,hsa,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,26530100.0
MIRT026103,hsa-miR-192-5p,hsa,NOB1,28987.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26743688.0
MIRT026103,hsa-miR-192-5p,hsa,NOB1,28987.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26743688.0
MIRT007365,hsa-miR-100-5p,hsa,MTOR,2475.0,hsa,Western blot,Functional MTI,26744318.0
MIRT002922,hsa-miR-124-3p,hsa,RHOG,391.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,26746014.0
MIRT002922,hsa-miR-124-3p,hsa,RHOG,391.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,26746014.0
MIRT002922,hsa-miR-124-3p,hsa,RHOG,391.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,26746014.0
MIRT002922,hsa-miR-124-3p,hsa,RHOG,391.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,26746014.0
MIRT054750,hsa-miR-28-5p,hsa,RAP1B,5908.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27729617.0
MIRT054750,hsa-miR-28-5p,hsa,RAP1B,5908.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,27729617.0
MIRT466997,hsa-miR-497-5p,hsa,SSRP1,6749.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26755331.0
MIRT466997,hsa-miR-497-5p,hsa,SSRP1,6749.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26755331.0
MIRT466997,hsa-miR-497-5p,hsa,SSRP1,6749.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26755331.0
MIRT466997,hsa-miR-497-5p,hsa,SSRP1,6749.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26755331.0
MIRT054708,hsa-miR-99a-5p,hsa,HOXA1,3198.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26417931.0
MIRT054708,hsa-miR-99a-5p,hsa,HOXA1,3198.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26417931.0
MIRT054327,hsa-miR-92a-3p,hsa,PTEN,5728.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26432332.0
MIRT054327,hsa-miR-92a-3p,hsa,PTEN,5728.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26432332.0
MIRT006471,hsa-miR-125a-5p,hsa,TNFAIP3,7128.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26758190.0
MIRT006471,hsa-miR-125a-5p,hsa,TNFAIP3,7128.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26758190.0
MIRT006046,hsa-miR-218-5p,hsa,BIRC5,332.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26442524.0
MIRT006046,hsa-miR-218-5p,hsa,BIRC5,332.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26442524.0
MIRT006046,hsa-miR-218-5p,hsa,BIRC5,332.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26442524.0
MIRT006046,hsa-miR-218-5p,hsa,BIRC5,332.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26442524.0
