celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,ZNF581
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,A2M
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,ACTA2
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,BGN
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,C1R
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,C1S
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CALD1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CAV1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CCDC80
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CCN1
